Common Terms	Frequency
sprinkled	2
alone	2
instead	2
basic	2
breakdown	2
2070	2
superimposed	2
aspects	2
nebulae	2
eso	2
materials	2
including	2
gases	2
scattering	2
explain	2
provides	2
examples	2
waves	2
picos	2
difracción	2
observations	2
terms	2
rock	2
magenta	2
flows	2
cómo	2
por	2
siglas	2
inglés	2
al	2
través	2
swirl	2
orbiting	2
dips	2
molecules	2
spectrographs	2
us	2
shortest	2
longest	2
least	2
reflection	2
energy	2
level	2
path	2
coronagraphic	2
era	2
galaxias	2
tiempo	2
difference	2
para	2
formación	2
planetas	2
composite	2
interacting	2
gossamer	2
reionization	2
help	2
microshutters	2
voyager	2
milky	2
sdss	2
rojo	2
parte	2
cuando	2
ondas	2
más	2
derecha	2
distintos	2
ver	2
cosmological	2
massive	2
timeline	2
compared	2
balance	2
stellar	2
gráfico	2
observación	2
preview	2
detected	2
gamma	2
ultraviolet	2
radio	2
sliver	2
bands	2
spectroscopic	2
impression	2
design	2
back	2
photograph	2
somewhat	1
famous	1
covers	1
latitudes	1
south	1
europa	1
mix	1
arrangement	1
211	1
uneven	1
rounded	1
streak	1
runs	1
dominant	1
fatter	1
semicircle	1
rotating	1
uncrowding	1
cepheids	1
5584	1
resolution	1
cool	1
fills	1
thicknesses	1
dimethyl	1
sulfide	1
composed	1
denser	1
brought	1
ejecta	1
curved	1
overlain	1
cotton	1
balls	1
sunrise	1
earendel	1
whl	1
arcseconds	1
tenth	1
cyan	1
f410m	1
zoomed	1
wraps	1
seven	1
gordo	1
hh	1
beyond	1
falling	1
onto	1
dual	1
opposing	1
young	1
fill	1
arched	1
groupings	1
sits	1
arch	1
streamer	1
curling	1
emerging	1
triangle	1
pinch	1
displaying	1
face	1
cliff	1
indistinct	1
reading	1
rho	1
ophiuchi	1
f335w	1
vast	1
shorthand	1
existed	1
570	1
million	1
big	1
plots	1
detections	1
groth	1
splotchy	1
smatterings	1
6946	1
invisible	1
been	1
translated	1
collecting	1
18	1
21	1
f1500w	1
blazing	1
whiteish	1
direct	1
dione	1
tethys	1
tint	1
poles	1
singular	1
gaps	1
applied	1
traveling	1
division	1
encke	1
thinnest	1
f	1
diagonal	1
anchored	1
luminous	1
outshines	1
aspire	1
leading	1
blown	1
combined	1
billowy	1
colourful	1
mid	1
expanse	1
smallest	1
carry	1
eiger	1
paintbrush	1
strokes	1
pinks	1
reds	1
though	1
teal	1
medium	1
adjoining	1
whiter	1
represented	1
pixels	1
vapor	1
donut	1
correspond	1
emissions	1
vaporized	1
heat	1
103	1
detection	1
absence	1
read	1
p	1
2005	1
u	1
kilometers	1
miles	1
fomalhaut	1
indicate	1
individual	1
belt	1
pullouts	1
23	1
occupying	1
subtle	1
tenuous	1
resembling	1
sunspots	1
486	1
gradated	1
you	1
move	1
converge	1
become	1
dozens	1
legend	1
starspots	1
grouping	1
would	1
stand	1
otherwise	1
radiating	1
providing	1
15	1
seconds	1
making	1
ideal	1
obscures	1
present	1
udf	1
cassiopeia	1
snr	1
arcminute	1
n	1
list	1
f560w	1
f2550w	1
unlike	1
surround	1
february	1
well	1
puck	1
ariel	1
miranda	1
umbriel	1
titania	1
oberon	1
dayside	1
thirds	1
vhs	1
1256	1
monoxide	1
silicates	1
row	1
lists	1
link	1
leads	1
adjacent	1
fraction	1
decreases	1
altogether	1
loose	1
obscured	1
crowded	1
dominating	1
concentrated	1
sources	1
zooming	1
detectable	1
h2o	1
occultation	1
occulted	1
brownish	1
smokey	1
enter	1
going	1
signature	1
chamaeleon	1
i	1
nir38	1
chemical	1
grid	1
depth	1
august	1
31	1
low	1
starlight	1
mode	1
bars	1
percent	1
featureless	1
please	1
comparatively	1
starfield	1
streaks	1
orangish	1
ridges	1
appearance	1
mountain	1
splotches	1
loud	1
